label,value
White or Caucasian,white-caucasian
Black or African-American,black-african-american
Hispanic/Latino/a,hisplanic-latino-a
Asian,asian
American Indian or Alaska Native,american-indian-alaske
Native Hawaiian or other Pacific Islanders,native-hawaiian-pacific-island
Not listed above,not-listed
Would rather not identify,not-identify
